90094,5464,33.7,2559,2905,2949,1.85,33.97,-118.43,z8z9z10z11
90095,3,52.5,2,1,2,1.5,34.07,-118.44,z8z9z10z11
90201,101279,27.8,50658,50621,24104,4.16,33.97,-118.15,z8z9z10z11
90210,21741,47.5,10292,11449,8669,2.49,34.09,-118.41,z8z9z10z11
90211,8434,40.6,3849,4585,3706,2.28,34.06,-118.38,z8z9z10z11
90212,11555,41.2,5211,6344,5567,2.08,34.06,-118.4,z8z9z10z11
90220,49328,29.8,23773,25555,12741,3.85,33.87,-118.24,z8z9z10
90221,53704,26.7,26346,27358,11630,4.57,33.87,-118.21,z8z9z10
90222,31869,27.3,15375,16494,7520,4.21,33.91,-118.23,z8z9z10
90230,31766,39.1,14932,16834,12883,2.45,33.99,-118.39,z8z9z10z11
90232,15149,38.6,7333,7816,6605,2.28,34.02,-118.39,z8z9z10z11
90240,25876,35.5,12501,13375,7632,3.36,33.95,-118.12,z8z9z10z11
90241,42399,33.9,20466,21933,13617,3.09,33.94,-118.13,z8z9z10z11
90242,43497,31.6,21207,22290,12687,3.41,33.92,-118.14,z8z9z10
90245,16654,39.2,8304,8350,7085,2.34,33.91,-118.4,z8z9z10
90247,47487,35.5,23217,24270,15830,2.96,33.89,-118.29,z8z9z10
90248,9947,41.2,4823,5124,3427,2.89,33.88,-118.27,z8z9z10
90249,26669,37.2,12897,13772,8880,2.98,33.89,-118.31,z8z9z10
90250,93193,31.9,45113,48080,31087,2.98,33.91,-118.34,z8z9z10
90254,19506,37,10273,9233,9550,2.04,33.86,-118.39,z8z9z10
90255,75066,29.1,37525,37541,18419,4.06,33.97,-118.21,z8z9z10z11
90260,34924,32.7,17509,17415,10429,3.33,33.88,-118.35,z8z9z10
90262,69745,27.8,33919,35826,14669,4.57,33.92,-118.2,z8z9z10
90263,1612,19.7,665,947,0,0,34.03,-118.7,z8z9
90265,18116,46.5,9159,8957,7174,2.39,34.06,-118.81,z8z9
90266,35135,40.9,17605,17530,14038,2.5,33.88,-118.4,z8z9z10
90270,27372,27.9,13992,13380,6554,4.16,33.98,-118.18,z8z9z10z11
90272,22986,47.3,10952,12034,9212,2.49,34.07,-118.54,z8z9z10
90274,25209,49.4,12199,13010,9479,2.66,33.77,-118.34,z8z9
90275,41804,47.8,20283,21521,15618,2.65,33.75,-118.31,z8z9
90277,35293,42,17521,17772,16910,2.07,33.83,-118.38,z8z9z10
90278,40071,38.2,19848,20223,16009,2.49,33.87,-118.37,z8z9z10
90280,94396,29.4,46321,48075,23278,4.05,33.94,-118.2,z8z9z10z11
90290,6368,45,3180,3188,2612,2.44,34.1,-118.6,z8z9z10
90291,28341,37.6,14757,13584,14261,1.95,33.99,-118.46,z8z9z10
90292,21576,41.2,10729,10847,12654,1.7,33.97,-118.43,z8z9z10z11
90293,12132,40.4,5890,6242,6575,1.83,33.94,-118.44,z8z9z10z11
90301,36568,32.6,17633,18935,11895,3.01,33.95,-118.36,z8z9z10z11
90302,29415,32.8,13803,15612,10684,2.74,33.97,-118.35,z8z9z10z11
90303,26176,30.4,12733,13443,7290,3.58,33.93,-118.33,z8z9z10
90304,28210,28.1,14503,13707,6634,4.22,33.93,-118.36,z8z9z10
90305,14853,43.3,6552,8301,5933,2.46,33.95,-118.33,z8z9z10z11
90401,6722,37.8,3524,3198,4188,1.49,34.01,-118.49,z8z9z10
90402,12250,47,5809,6441,5301,2.31,34.03,-118.5,z8z9z10
90403,24525,40.8,11426,13099,13970,1.74,34.03,-118.49,z8z9z10
90404,21360,37.4,10292,11068,10089,2.01,34.02,-118.47,z8z9z10
90405,27186,40.8,13364,13822,14376,1.87,34.01,-118.46,z8z9z10
90501,43180,35,21483,21697,14610,2.94,33.83,-118.31,z8z9z10
90502,18010,40.2,8811,9199,5717,2.94,33.83,-118.29,z8z9z10
90503,44383,40.8,21481,22902,17183,2.55,33.84,-118.35,z8z9z10
90504,32102,40.3,15886,16216,11580,2.76,33.86,-118.33,z8z9z10
90505,36678,43,17684,18994,14244,2.55,33.8,-118.35,z8z9
90506,0,0,0,0,0,0,33.88,-118.33,z8z9z10
90601,31974,36.6,15312,16662,11027,2.89,34,-118.03,z8z9z10
90602,25777,30.9,12720,13057,7980,3.09,33.97,-118.01,z8z9z10
90603,20063,39.4,9694,10369,6788,2.93,33.94,-117.99,z8z9z10
90604,39407,34.1,19270,20137,11932,3.29,33.93,-118,z8z9z10
90605,40331,32.6,20033,20298,10527,3.81,33.94,-118.03,z8z9z10
90606,32396,33.5,15936,16460,8633,3.72,33.98,-118.06,z8z9z10z11
90621,35153,32.1,17377,17776,10304,3.38,33.87,-117.99,z8z9z10
90623,15554,41.2,7516,8038,5072,3.06,33.85,-118.04,z8z9z10
90630,47993,40,23204,24789,15785,3.02,33.81,-118.03,z8z9
90631,67619,34.8,33320,34299,21452,3.13,33.94,-117.95,z8z9z10
90638,49012,37.9,23520,25492,14821,3.11,33.9,-118,z8z9z10
90640,62549,34.7,30189,32360,19027,3.27,34,-118.1,z8z9z10z11
90650,105549,32.5,52364,53185,27130,3.83,33.9,-118.07,z8z9z10
90660,62928,34,30738,32190,16564,3.77,33.98,-118.08,z8z9z10z11
90670,14866,36.2,7163,7703,4393,3.34,33.92,-118.06,z8z9z10
90701,16591,38.2,8227,8364,4553,3.51,33.86,-118.08,z8z9z10
90703,49399,43.9,23785,25614,15604,3.16,33.86,-118.05,z8z9z10
90704,4090,37.2,2101,1989,1629,2.5,33.38,-118.45,z8
90706,76615,31.9,37203,39412,23650,3.21,33.88,-118.13,z8z9z10
90710,25457,36.7,12291,13166,8717,2.91,33.79,-118.29,z8z9
90712,31499,38.4,15277,16222,10794,2.91,33.84,-118.14,z8z9z10
90713,27925,39,13574,14351,9447,2.95,33.85,-118.11,z8z9z10
90715,20388,33.9,9935,10453,6105,3.33,33.84,-118.07,z8z9z10
90716,14184,28.3,7078,7106,3515,4.03,33.83,-118.07,z8z9z10
90717,21318,39.5,10317,11001,8520,2.48,33.79,-118.31,z8z9
90720,21751,41.7,10423,11328,7789,2.74,33.79,-118.06,z8z9
90723,54099,28.6,26315,27784,13882,3.87,33.89,-118.16,z8z9z10
90731,59662,35.6,29951,29711,22044,2.62,33.73,-118.29,z8z9
90732,21115,45,9843,11272,8611,2.38,33.73,-118.31,z8z9
90740,23729,57.5,10423,13306,12830,1.83,33.75,-118.07,z8z9
90744,53815,28.7,27298,26517,13999,3.83,33.77,-118.26,z8z9
90745,57251,37.1,27754,29497,15210,3.73,33.82,-118.26,z8z9
90746,25990,40.7,11944,14046,8050,3.14,33.86,-118.25,z8z9z10
90747,0,0,0,0,0,0,33.86,-118.25,z8z9z10
90755,11074,36.1,5462,5612,4172,2.64,33.8,-118.16,z8z9
90802,39347,34.7,20387,18960,19853,1.93,33.75,-118.2,z8z9
90803,32031,42.7,15609,16422,17318,1.84,33.75,-118.13,z8z9
90804,40311,29.8,19686,20625,14556,2.7,33.78,-118.14,z8z9
90805,93524,29,45229,48295,26056,3.56,33.86,-118.18,z8z9z10
90806,42399,30.3,20717,21682,12184,3.44,33.81,-118.18,z8z9
90807,31481,39.7,15153,16328,12452,2.49,33.83,-118.18,z8z9z10
90808,38232,41.6,18408,19824,14167,2.69,33.82,-118.11,z8z9
90810,36735,31.8,18067,18668,9289,3.9,33.81,-118.22,z8z9
90813,58911,27.3,29425,29486,16425,3.5,33.78,-118.18,z8z9
90814,19131,37.2,9356,9775,9170,2.06,33.77,-118.14,z8z9
90815,39733,37.9,19124,20609,14836,2.53,33.79,-118.12,z8z9
90822,117,63.9,109,8,2,4.5,33.77,-118.11,z8z9
90831,0,0,0,0,0,0,33.76,-118.2,z8z9
91001,36126,41.6,17421,18705,12663,2.83,34.2,-118.13,z8z9z10
91006,31715,42.7,15283,16432,10652,2.98,34.13,-118.02,z8z9z10
91007,34095,43.8,16039,18056,12033,2.73,34.12,-118.05,z8z9z10z11
91008,1391,54.6,614,777,562,2.39,34.14,-117.96,z8z9z10
91010,26074,38.1,12461,13613,7972,3.2,34.13,-117.94,z8z9z10
91011,20280,45.9,9863,10417,6859,2.95,34.23,-118.14,z8z9z10
91016,40598,37.9,19434,21164,15029,2.69,34.15,-117.99,z8z9z10
91020,8415,40.2,3966,4449,3385,2.43,34.21,-118.23,z8z9z10
91024,10917,46.6,5165,5752,4837,2.26,34.2,-118.05,z8z9z10
91030,25616,40.1,12160,13456,10466,2.43,34.11,-118.15,z8z9z10z11
91040,20372,43.3,10120,10252,7359,2.72,34.26,-118.32,z8z9z10
91042,27585,40.7,13734,13851,9987,2.74,34.29,-118.25,z8z9
91046,156,74,51,105,114,1.37,34.21,-118.24,z8z9z10
91101,20460,33.7,9926,10534,10869,1.86,34.14,-118.13,z8z9z10z11
91103,27480,35,13481,13999,8492,3.11,34.17,-118.17,z8z9z10
91104,36751,38.2,17874,18877,12922,2.8,34.16,-118.12,z8z9z10z11
91105,11254,49,5432,5822,5213,2.07,34.14,-118.16,z8z9z10z11
91106,24229,34.6,11993,12236,10723,2.17,34.13,-118.13,z8z9z10z11
91107,32940,41.2,15940,17000,13028,2.51,34.16,-118.08,z8z9z10z11
91108,13361,45.4,6410,6951,4415,3.01,34.12,-118.11,z8z9z10z11
91201,22781,40.4,11123,11658,8150,2.78,34.17,-118.29,z8z9z10
91202,22830,41.7,10805,12025,8879,2.56,34.16,-118.26,z8z9z10z11
91203,13220,38.9,6279,6941,5044,2.62,34.15,-118.26,z8z9z10z11
91204,16032,38.1,7699,8333,5639,2.76,34.13,-118.26,z8z9z10z11
91205,37810,39.1,18084,19726,14089,2.67,34.13,-118.24,z8z9z10z11
91206,33065,42.6,15544,17521,13261,2.48,34.16,-118.2,z8z9z10z11
91207,10506,45.5,4924,5582,4097,2.56,34.18,-118.25,z8z9z10
91208,16245,43.6,7756,8489,6106,2.66,34.19,-118.24,z8z9z10
91210,328,33.9,162,166,178,1.84,34.14,-118.25,z8z9z10z11
91214,30356,42.5,14642,15714,10551,2.87,34.23,-118.24,z8z9z10
91301,25488,42.7,12511,12977,9208,2.76,34.12,-118.76,z8z9
91302,25709,42.4,12487,13222,9303,2.76,34.11,-118.67,z8z9
91303,26855,31.1,13907,12948,8697,3.08,34.19,-118.6,z8z9z10
91304,50231,35.9,24827,25404,16532,3,34.22,-118.59,z8z9z10
91306,45061,35.4,22679,22382,13635,3.28,34.2,-118.57,z8z9z10
91307,24474,43.4,11939,12535,8315,2.91,34.2,-118.69,z8z9
91311,36557,42.7,17838,18719,13425,2.66,34.28,-118.61,z8z9
91316,26898,42.1,12717,14181,11911,2.26,34.15,-118.52,z8z9z10
91321,34882,33.3,17402,17480,11215,3.04,34.36,-118.47,z8z9
91324,27669,36.5,13545,14124,9289,2.95,34.24,-118.55,z8z9z10
91325,32417,35.4,15819,16598,11825,2.72,34.23,-118.51,z8z9z10
91326,33708,42.7,16394,17314,11770,2.86,34.28,-118.55,z8z9
91330,2702,19.6,1103,1599,2,2.5,34.24,-118.5,z8z9z10
91331,103689,29.5,52358,51331,22465,4.6,34.25,-118.41,z8z9z10
91335,74363,35.5,36596,37767,22855,3.21,34.2,-118.54,z8z9z10
91340,34188,30.1,17130,17058,8176,4.17,34.28,-118.44,z8z9
91342,91725,31.9,45786,45939,23543,3.83,34.32,-118.38,z8z9
91343,60254,32.3,30145,30109,16802,3.55,34.23,-118.47,z8z9z10
91344,51747,41,25212,26535,16872,3.03,34.29,-118.5,z8z9
91345,18496,35.7,9110,9386,5192,3.52,34.27,-118.45,z8z9z10
91350,33348,36.4,16270,17078,10991,3.01,34.43,-118.51,z8z9
91351,32362,33.9,16086,16276,10036,3.22,34.43,-118.46,z8z9
91352,47807,32.1,23980,23827,11985,3.95,34.23,-118.34,z8z9z10
91354,28722,36.4,14046,14676,9522,3.01,34.46,-118.57,z8z9
91355,32605,38.8,15773,16832,12772,2.51,34.41,-118.56,z8z9
91356,29458,41.7,14216,15242,11686,2.5,34.15,-118.54,z8z9z10
91361,20438,47.6,9854,10584,8374,2.43,34.14,-118.89,z8z9
91362,36045,42.6,17562,18483,13563,2.65,34.19,-118.81,z8z9
91364,25851,44,12739,13112,10409,2.47,34.15,-118.6,z8z9z10
91367,39499,41,19171,20328,16697,2.35,34.17,-118.61,z8z9z10
91377,13811,41.7,6641,7170,5158,2.68,34.19,-118.76,z8z9
91381,20158,36,9852,10306,6636,3.04,34.37,-118.61,z8z9
91384,29855,32.5,18503,11352,6925,3.3,34.51,-118.68,z8
91387,40328,33,20106,20222,12871,3.13,34.4,-118.4,z8z9
91390,19786,40.1,9911,9875,6369,3.07,34.53,-118.4,z8
91401,39285,36,19613,19672,14380,2.7,34.17,-118.43,z8z9z10
91402,69817,30.1,35095,34722,18194,3.81,34.22,-118.44,z8z9z10
91403,23484,39.4,11277,12207,11358,2.06,34.14,-118.46,z8z9z10
91405,51145,32.6,25498,25647,16256,3.11,34.2,-118.44,z8z9z10
91406,51558,33.6,25956,25602,17042,3.02,34.19,-118.49,z8z9z10
91411,24628,33.8,12495,12133,9177,2.63,34.17,-118.46,z8z9z10
91423,30991,39.2,14789,16202,14876,2.07,34.14,-118.42,z8z9z10z11
